codigo,creditos,nombre
17,4,SOCIAL HUMANISTICA 1
101,7,MATEMATICA BASICA 1
69,3,TECNICA COMPLEMENTARIA 1
39,1,DEPORTES 1
348,3,QUIMICA GENERAL 1
6,2,IDIOMA TECNICO 1
19,4,SOCIAL HUMANISTICA 2
103,7,MATEMATICA BASICA 2
5,3,TECNICAS DE ESTUDIO E INVESTIGACION
147,5,FISICA BASICA
40,1,DEPORTES 2
8,2,IDIOMA TECNICO 2
795,2,LOGICA DE SISTEMAS
960,5,MATEMATICA PARA COMPUTACION 1
770,4,INTRODUCCIÃ“N A LA PROGRAMACION Y COMPUTACION 1
107,10,MATEMATICA INTERMEDIA 1
150,6,FISICA 1
9,2,IDIOMA TECNICO3
772,5,ESTRUCTURAS DE DATOS